ID,BEZEICHNUNG,Grippesaison,Jahr,Kalenderwoche,Neuerkrankungen pro Woche,Schwankungsbreite
2009/2010_40,Grippemeldedienst der Stadt Wien,2009/2010,2009,40. Woche,6600,+/- 1.300
2009/2010_41,Grippemeldedienst der Stadt Wien,2009/2010,2009,41. Woche,7100,+/- 1.300
2009/2010_42,Grippemeldedienst der Stadt Wien,2009/2010,2009,42. Woche,7700,+/- 1.300
2009/2010_43,Grippemeldedienst der Stadt Wien,2009/2010,2009,43. Woche,8300,+/- 1.500
2009/2010_44,Grippemeldedienst der Stadt Wien,2009/2010,2009,44. Woche,8600,+/- 1.300
2009/2010_45,Grippemeldedienst der Stadt Wien,2009/2010,2009,45. Woche,10800,+/- 1.200
2009/2010_46,Grippemeldedienst der Stadt Wien,2009/2010,2009,46. Woche,14400,+/- 1.200
2009/2010_47,Grippemeldedienst der Stadt Wien,2009/2010,2009,47. Woche,15800,+/- 1.300
2009/2010_48,Grippemeldedienst der Stadt Wien,2009/2010,2009,48. Woche,16800,+/- 1.300
2009/2010_49,Grippemeldedienst der Stadt Wien,2009/2010,2009,49. Woche,15300,+/- 1.200
2009/2010_50,Grippemeldedienst der Stadt Wien,2009/2010,2009,50. Woche,14500,+/- 1.200
2009/2010_51,Grippemeldedienst der Stadt Wien,2009/2010,2009,51. Woche,12700,+/- 1.200
2009/2010_52,Grippemeldedienst der Stadt Wien,2009/2010,2009,52. Woche,7900,+/- 1.000
2009/2010_53,Grippemeldedienst der Stadt Wien,2009/2010,2009,53. Woche,7200,+/- 1.600
2009/2010_1,Grippemeldedienst der Stadt Wien,2009/2010,2010,1. Woche,8200,+/- 1.300
2009/2010_2,Grippemeldedienst der Stadt Wien,2009/2010,2010,2. Woche,10400,+/- 1.200
2009/2010_3,Grippemeldedienst der Stadt Wien,2009/2010,2010,3. Woche,7400,+/- 1.000
2009/2010_4,Grippemeldedienst der Stadt Wien,2009/2010,2010,4. Woche,8600,+/- 1.300
2009/2010_5,Grippemeldedienst der Stadt Wien,2009/2010,2010,5. Woche,7600,+/- 1.200
2009/2010_6,Grippemeldedienst der Stadt Wien,2009/2010,2010,6. Woche,8000,+/- 1.100
2009/2010_7,Grippemeldedienst der Stadt Wien,2009/2010,2010,7. Woche,9200,+/- 1.200
2009/2010_10,Grippemeldedienst der Stadt Wien,2009/2010,2010,10. Woche,-,-
2009/2010_11,Grippemeldedienst der Stadt Wien,2009/2010,2010,11. Woche,6900,+/- 1.100
2009/2010_12,Grippemeldedienst der Stadt Wien,2009/2010,2010,12. Woche,8100,+/- 1.200
2009/2010_13,Grippemeldedienst der Stadt Wien,2009/2010,2010,13. Woche,3100,+/- 800
2010/2011_40,Grippemeldedienst der Stadt Wien,2010/2011,2010,40. Woche,9000,+/- 1.100
2010/2011_41,Grippemeldedienst der Stadt Wien,2010/2011,2010,41. Woche,8900,+/- 1.100
2010/2011_42,Grippemeldedienst der Stadt Wien,2010/2011,2010,42. Woche,8500,+/- 1.100
2010/2011_43,Grippemeldedienst der Stadt Wien,2010/2011,2010,43. Woche,9100,+/- 1.300
2010/2011_44,Grippemeldedienst der Stadt Wien,2010/2011,2010,44. Woche,7300,+/- 1.000
2010/2011_45,Grippemeldedienst der Stadt Wien,2010/2011,2010,45. Woche,7900,+/- 1.000
2010/2011_46,Grippemeldedienst der Stadt Wien,2010/2011,2010,46. Woche,8200,+/- 1.000
2010/2011_47,Grippemeldedienst der Stadt Wien,2010/2011,2010,47. Woche,10100,+/- 1.400
2010/2011_48,Grippemeldedienst der Stadt Wien,2010/2011,2010,48. Woche,9700,+/- 1.000
2010/2011_49,Grippemeldedienst der Stadt Wien,2010/2011,2010,49. Woche,9200,+/- 1.000
