date;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;temp_dailyMean;temp_dailyMax;temp_dailyMin;hum_7h;hum_14h;hum_19h;windBeauf_7h;windBeauf_14h;windBeauf_19h;precip
2013-01-01;7;10;10;;-0.2;0.2;-0.5;0.3;-1.2;94;94;93;2;2;2;Spuren
2013-01-02;10;9;3;-1.3;4.5;4.2;1.5;4.7;-1.7;100;85;67;2;3;3;0.9
2013-01-03;5;10;8;0.9;3.9;5.1;3.1;6.4;-0.3;90;85;84;2;6;6;1.9
2013-01-04;7;7;9;7.4;9.8;8.4;7.6;10.1;5.1;78;68;87;4;4;4;5.7
2013-01-05;8;9;6;9.8;9.0;40.0;8.7;10.3;7.1;80;82;76;4;4;4;7.5
2013-01-06;9;10;10;6.5;6.8;6.5;6.4;7.3;5.5;81;97;87;4;3;5;25.8
2013-01-07;10;9;9;0.9;1.8;;3.8;7.0;0.6;98;84;82;3;1;1;0.5
2013-01-08;10;10;10;-0.9;-0.6;-0.3;-0.2;0.9;-1.3;92;99;100;1;1;1;10.4
2013-01-09;9;8;10;4.4;7.1;5.0;3.8;7.9;-0.3;93;80;93;3;2;2;0.4
2013-01-10;9;7;9;4.4;6.0;5.1;4.1;6.4;1.8;86;70;72;4;3;3;Spuren
2013-01-11;10;2;1;3.9;1.5;-0.4;2.4;5.3;-0.6;70;56;56;4;3;4;2.7
2013-01-12;9;10;5;-1.7;-0.2;-3.0;-1.2;0.7;-3.1;62;59;85;2;2;2;Spuren
2013-01-13;10;10;10;-3.0;-2.6;-3.0;-3.3;-2.2;-4.3;93;90;95;1;2;3;4
2013-01-14;10;10;9;-2.6;-1.2;-40.0;-2.0;-1.0;-3.0;99;91;92;2;2;1;4
2013-01-15;9;9;10;-2.6;0.2;-0.1;-1.5;0.2;-3.2;94;80;92;1;2;2;0
2013-01-16;10;9;10;-1.4;0.1;-0.5;-0.4;0.7;-1.5;81;72;87;2;3;2;6.3
2013-01-17;10;10;9;-1.4;-1.0;-1.7;-1.0;-0.1;-1.8;97;97;90;2;2;3;10.3
2013-01-18;10;10;10;-2.8;-2.8;-3.4;-2.6;-1.7;-3.4;85;86;90;3;3;3;2.6
2013-01-19;10;10;10;-4.4;-4.3;-4.7;-4.1;-3.4;-4.8;78;79;84;2;1;2;Spuren
2013-01-20;10;10;10;-3.5;-1.0;0.1;-2.4;0.1;-4.9;100;100;99;2;1;2;0
2013-01-21;10;10;10;0.1;40.0;0.2;0.8;1.7;-0.2;98;82;81;2;2;3;Spuren
2013-01-22;9;7;9;-0.3;2.0;-0.1;0.9;2.1;-0.3;80;68;77;2;3;2;0.2
2013-01-23;10;10;10;-3.8;;-2.2;-2.0;0.0;-3.9;92;84;90;1;2;2;Spuren
2013-01-24;10;10;10;-2.9;-1.4;-0.8;-1.9;-0.8;-3.0;96;93;89;2;2;3;Spuren
2013-01-25;10;10;10;-3.2;-3.7;;-2.4;-0.6;-4.2;83;72;69;3;3;3;Spuren
